,,,,,,
Connect with me on LinkedIn - https://www.linkedin.com/in/nandhini-raja-8b71b4143/,,,,,,
"Only sheet you need to get placed in super high paying companies including google, amazon, salesforce, microsoft, adobe, etc",,,,,,
Solving time - Easy Problems - 5 to 10mins,,,,,,
Solving time - Medium Problems - 15 to 20mins,,,,,,
Solving time - Hard problems - At max 45mins - 50mins,,,,,,
,,,,,,
"Imp Note: Its not necessary that you know a topic, so for every topic you have here, first understand the basics of the topic, then for every pattern, you can learn the first prob in that pattern and then try solving other probs in that pattern yourself. ",,,,,,
,,,,,,
TOPIC,Problem,Problem link,Solution Tutorial,Solution Article,Solved,Notes
Implementation probs,,,,,,
,Celebrity problem,https://www.geeksforgeeks.org/problems/the-celebrity-problem/1?page=1&category=Stack&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Restrictive candy crush,https://www.geeksforgeeks.org/problems/restrictive-candy-crush--141631/1?page=2&category=Stack&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Count the reversals,https://www.geeksforgeeks.org/problems/count-the-reversals0401/1?page=1&category=Queue&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
Queue - Data structure,,,,,,
Basic pattern,,,,,,
,What is queue? Learn the basic representation and how its implemented?,https://www.geeksforgeeks.org/problems/implement-queue-using-array/1?page=1&category=Queue&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Implement queue using linkedlist,https://www.geeksforgeeks.org/problems/implement-queue-using-linked-list/1?page=1&category=Queue&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Implement queue using stack(super imp),https://www.geeksforgeeks.org/problems/queue-using-two-stacks/1?page=1&category=Queue&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Implement stack using queue(super imp),https://www.geeksforgeeks.org/problems/stack-using-two-queues/1?page=1&category=Queue&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Reverse a queue,https://www.geeksforgeeks.org/problems/queue-reversal/1?page=1&category=Queue&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
Implementation probs,,,,,,
,Circular tour,https://www.geeksforgeeks.org/problems/circular-tour-1587115620/1?page=1&category=Queue&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,First non repeating char in stream,https://www.geeksforgeeks.org/problems/first-non-repeating-character-in-a-stream1216/1?page=1&category=Queue&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Reverse first k elements in queue,https://www.geeksforgeeks.org/problems/reverse-first-k-elements-of-queue/1?page=1&category=Queue&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,LRU Cache(super imp),https://www.geeksforgeeks.org/problems/lru-cache/1?page=1&category=Queue&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Minimum cost of ropes,https://www.geeksforgeeks.org/problems/minimum-cost-of-ropes-1587115620/1?page=1&category=Queue&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Nearly sorted(Learn priority queue for sure),https://www.geeksforgeeks.org/problems/nearly-sorted-1587115620/1?page=3&category=Arrays&difficulty=Medium,Best Tutorial link - click to view,Article link-click to view,,
"Sliding Window - Technique  (Dont skip this topic, I personally have been asked this topic in many interviews","GeekForGeeks has very limited probs in this topics, so use leetcode for this even if you practice on gfg generally",https://leetcode.com/problems/find-all-anagrams-in-a-string/solutions/92007/sliding-window-algorithm-template-to-solve-all-the-leetcode-substring-search-problem/,,,,
Fixed Sliding Window(Size of the window will be provided),,,,,,
,Maximum sum subarray of size k,https://www.geeksforgeeks.org/problems/max-sum-subarray-of-size-k5313/1?itm_source=geeksforgeeks&itm_medium=Article&itm_campaign=bottom_sticky_on_Article,Best Tutorial link - click to view,Article link-click to view,,
,"Count distinct element in every window(Once you understoor handling window size fixed from above prob, this will be easy)",https://www.geeksforgeeks.org/problems/count-distinct-elements-in-every-window/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,First negative integer in every window of size k(Try to solve on own before looking for soln since you did above topics too already,https://www.geeksforgeeks.org/problems/first-negative-integer-in-every-window-of-size-k3345/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Maximum of all subarray of size k(Try to solve on own),https://www.geeksforgeeks.org/problems/maximum-of-all-subarrays-of-size-k3101/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Count substring of length k with k-1 distinct elements,https://www.geeksforgeeks.org/problems/substrings-of-length-k-with-k-1-distinct-elements/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Maximum of minimum for every window(Imp),https://www.geeksforgeeks.org/problems/maximum-of-minimum-for-every-window-size3453/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
Variable sliding window(Each prob will teach something in addition to the window so do solve everything),,,,,,
,Subarray with given sum,https://www.geeksforgeeks.org/problems/subarray-with-given-sum-1587115621/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Longest subarray with given sum k(Same as above with slight modification),https://www.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Subarray with 0 sum,https://www.geeksforgeeks.org/problems/subarray-with-0-sum-1587115621/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Smallest window of distinct elements,https://www.geeksforgeeks.org/problems/smallest-distant-window3132/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Smallest window containing 0,1,2",https://www.geeksforgeeks.org/problems/smallest-window-containing-0-1-and-2--170637/1?page=2&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Smallest window in string containing all chars of another string,https://www.geeksforgeeks.org/problems/smallest-window-in-a-string-containing-all-the-characters-of-another-string-1587115621/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Length of longest substring,https://www.geeksforgeeks.org/problems/length-of-the-longest-substring3036/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Largest subarray of 0s and 1s,https://www.geeksforgeeks.org/problems/largest-subarray-of-0s-and-1s/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Count of anagram occurence(Super imp),https://www.geeksforgeeks.org/problems/count-occurences-of-anagrams5839/1?page=1&category=sliding-window&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Max consecutive ones III,https://leetcode.com/problems/max-consecutive-ones-iii/,Best Tutorial link - click to view,Article link-click to view,,
,Fruit into basket,https://leetcode.com/problems/fruit-into-baskets,Best Tutorial link - click to view,Article link-click to view,,
,Count number of nice subarrays,https://leetcode.com/problems/count-number-of-nice-subarrays/,Best Tutorial link - click to view,Article link-click to view,,
,Longest repeating char replacement,https://leetcode.com/problems/longest-repeating-character-replacement,Best Tutorial link - click to view,,,
,Minimum window substring,https://leetcode.com/problems/minimum-window-substring/description/,Best Tutorial link - click to view,Article link-click to view,,
,Minimum window subsequence(Understand the diff between subarray and subsequence before starting this prob),https://leetcode.com/problems/minimum-window-subsequence/,Best Tutorial link - click to view,Article link-click to view,,
,Subarray with k diff integers,https://leetcode.com/problems/subarrays-with-k-different-integers/,Best Tutorial link - click to view,Article link-click to view,,
Trees - Data structure,,,,,,
Traversals,Understand the basic of how tree data structure is represented,,Best Tutorial link - click to view,,,
,PreOrder Traversal,https://www.geeksforgeeks.org/problems/preorder-traversal/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,InOrder Traversal,https://www.geeksforgeeks.org/problems/inorder-traversal/1?page=2&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,PostOrder Traversal,https://www.geeksforgeeks.org/problems/postorder-traversal/1?page=2&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Level Order Traversal,https://www.geeksforgeeks.org/problems/level-order-traversal/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Boundary Traversal(Once level traversal is learnt, this you can solve)",https://www.geeksforgeeks.org/problems/boundary-traversal-of-binary-tree/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Vertical Traversal(Once level traversal is learnt, this you can solve, lil extra logic is needed)",https://www.geeksforgeeks.org/problems/print-a-binary-tree-in-vertical-order/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Top View of BT(Once you have mastered level traversal, this should be easy)",https://www.geeksforgeeks.org/problems/top-view-of-binary-tree/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Bottom View of BT(Once you have mastered level traversal, this should be easy)",https://www.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Left View of BT(Once you have mastered vertical traversal, this should be easy)",https://www.geeksforgeeks.org/problems/left-view-of-binary-tree/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Right View of BT(Once you have mastered vertical traversal, this should be easy)",https://www.geeksforgeeks.org/problems/right-view-of-binary-tree/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Diagonal Traversal,https://www.geeksforgeeks.org/problems/diagonal-traversal-of-binary-tree/1?page=3&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
Basic and Easy patterns(Try to solve these once you learnt traversals),,,,,,
,Insert node in a tree,,Best Tutorial link - click to view,Article link-click to view,,
,Height of the tree,https://www.geeksforgeeks.org/problems/height-of-binary-tree/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Diameter of the tree,https://www.geeksforgeeks.org/problems/diameter-of-binary-tree/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Check if 2 trees are identical,https://www.geeksforgeeks.org/problems/determine-if-two-trees-are-identical/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Check if subtree,https://www.geeksforgeeks.org/problems/check-if-subtree/1?page=2&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Check for balanced tree,https://www.geeksforgeeks.org/problems/check-for-balanced-tree/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Lowest common Ancestor in BT,https://www.geeksforgeeks.org/problems/lowest-common-ancestor-in-a-binary-tree/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Sum tree,https://www.geeksforgeeks.org/problems/sum-tree/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Symmetric tree,https://www.geeksforgeeks.org/problems/symmetric-tree/1?page=2&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Mirror of a tree,https://www.geeksforgeeks.org/problems/mirror-tree/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Check if isomorphic,https://www.geeksforgeeks.org/problems/check-if-tree-is-isomorphic/1?page=2&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
Path and Distance,,,,,,
,Root to leaf paths,https://www.geeksforgeeks.org/problems/root-to-leaf-paths/1?page=4&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Root to leaf path sum (Once the root to leaf path is solved, this should be easy)",https://www.geeksforgeeks.org/problems/root-to-leaf-paths/1?page=4&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Maximum path sum from any node(Once the root to leaf path is solved, this should be easy)",https://www.geeksforgeeks.org/problems/maximum-path-sum-from-any-node/1?page=3&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"K Sum Paths (Once the root to leaf path is solved, this should be easy)",https://www.geeksforgeeks.org/problems/k-sum-paths/1?page=3&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Nodes at given distance,https://www.geeksforgeeks.org/problems/nodes-at-given-distance-in-binary-tree/1?page=3&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Range sum of BST(Solving nodes at given distance, will make this easy)",,Best Tutorial link - click to view,Article link-click to view,,
,"Minimum distance between 2 nodes(Solving nodes at given distance, will make this easy)",https://www.geeksforgeeks.org/problems/min-distance-between-two-given-nodes-of-a-binary-tree/1?page=2&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Maximum distance between node and ancestor(Must solve though distance pattern is covered),https://www.geeksforgeeks.org/problems/maximum-difference-between-node-and-its-ancestor/1?page=3&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Min time to burn a tree(Using distance logic, this can be sovled)",https://www.geeksforgeeks.org/problems/burning-tree/1?page=4&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
"Binary Search Tree(Once the above patterns are covered, BST probs will become easy, but make sure to learn what BST is in general before starting with probs)",Understand what BST is?,,Best Tutorial link - click to view,,,
,Insert a node in BST,https://leetcode.com/problems/insert-into-a-binary-search-tree/,Best Tutorial link - click to view,Article link-click to view,,
,"Search a value in BST(Learn efficient algo to do it, since this can be handled efficiently in BST than BT)",https://practice.geeksforgeeks.org/problems/search-a-node-in-bst/1,Best Tutorial link - click to view,Article link-click to view,,
,Find minimum and maximum in BST,https://www.geeksforgeeks.org/problems/max-and-min-element-in-binary-tree/1?page=5&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Find the Kth largest element/kth Smallest in BST(Try to solve it without looking for soln, once you have mastered all the above patterns, this should be easy)",https://www.geeksforgeeks.org/problems/kth-largest-element-in-bst/1?page=2&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Check for BST(Try solving probs in this pattern by yourself till LCA once above are solved),https://www.geeksforgeeks.org/problems/check-for-bst/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Find the closest element in BST,https://www.geeksforgeeks.org/problems/find-the-closest-element-in-bst/1?page=3&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Count BST nodes in the given range,https://www.geeksforgeeks.org/problems/count-bst-nodes-that-lie-in-a-given-range/1?page=3&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Largest BST in BT(Super imp - Must solve),https://www.geeksforgeeks.org/problems/largest-bst/1?page=2&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Lowest Common Ancestor in BST,https://www.geeksforgeeks.org/problems/lowest-common-ancestor-in-a-bst/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Merge two BST(Super imp - Must solve),https://www.geeksforgeeks.org/problems/merge-two-bst-s/1?page=4&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Inorder successor and predecessor,https://www.geeksforgeeks.org/problems/predecessor-and-successor/1?page=2&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Populate inorder successor for all nodes,https://www.geeksforgeeks.org/problems/populate-inorder-successor-for-all-nodes/1?page=5&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to vieww,,
,BST to greater sum tree,https://www.geeksforgeeks.org/problems/bst-to-greater-sum-tree/1?page=8&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Delete given node from BST,https://leetcode.com/problems/delete-node-in-a-bst/,Best Tutorial link - click to view,Article link-click to view,,
Construct from given,,,,,,
,"Construct Binary Tree from Preorder and Inorder Traversal ( First understand the concept of how to derive at the solution, then start coding it by yourself)",https://www.geeksforgeeks.org/problems/construct-tree-1/1?page=1&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,Best Tutorial link - click to view,Article link-click to view,,
,Construct BST from given preorder traversal,https://www.geeksforgeeks.org/problems/construct-tree-from-preorder-traversal/1?page=7&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Construct BT from parent array,https://www.geeksforgeeks.org/problems/construct-binary-tree-from-parent-array/1?page=5&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
Subtree & Other must do tree probs,,,,,,
,Serialize and deserialize BT,https://www.geeksforgeeks.org/problems/serialize-and-deserialize-a-binary-tree/1?page=4&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Largest subtree sum in a tree,https://www.geeksforgeeks.org/problems/largest-subtree-sum-in-a-tree/1?page=6&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Maximum sum of non adjacent nodes,https://www.geeksforgeeks.org/problems/maximum-sum-of-non-adjacent-nodes/1?page=3&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Duplicate subtree ,https://www.geeksforgeeks.org/problems/duplicate-subtrees/1?page=4&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Flatten BT to linked list,https://www.geeksforgeeks.org/problems/flatten-binary-tree-to-linked-list/1?page=5&category=Tree&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
Backtracking & Recursion advanced - Technique,"This is super imp topic before moving further!! Draw the recursion tree to understand the flow as the first step, this will help in visualization of the flow",https://leetcode.com/discuss/general-discussion/680269/a-general-approach-to-backtracking-problems-in-cexhaustive-searching,,,,
"Basic patterns and must solve(Each prob in this pattern will teach you something and also as you solve, you will start mastering it though initially it takes sometime)",Understand the basics of backtracking and start solving,,,,,
,Permutations of a string,https://www.geeksforgeeks.org/problems/permutations-of-a-given-string2041/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Permutation II (You can solve on own once you solve above),https://leetcode.com/problems/permutations-ii,Best Tutorial link - click to view,Article link-click to view,,
,Combination sum I,https://www.geeksforgeeks.org/problems/combination-sum-1587115620/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Combination sum II(Once you solve combination I, you should be able to solve this and below 2 probs too easily)",https://leetcode.com/problems/combination-sum-ii,Best Tutorial link - click to view,Article link-click to view,,
,Combination sum III,https://leetcode.com/problems/combination-sum-iii,Best Tutorial link - click to view,Article link-click to view,,
,"Rat in maze(Once above probs are solved, you can do this easily)",https://www.geeksforgeeks.org/problems/rat-in-a-maze-problem/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Possible words from phone digits,https://www.geeksforgeeks.org/problems/possible-words-from-phone-digits-1587115620/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Subsets,https://www.geeksforgeeks.org/problems/subsets-1613027340/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,"Unique subset(Solving above, you will be able to solve this easily)",https://www.geeksforgeeks.org/problems/subsets-1587115621/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,N-Queen(Super imp),https://www.geeksforgeeks.org/problems/n-queen-problem0315/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,N Queen II,https://leetcode.com/problems/n-queens-ii,,,,
,Permutation with spaces,https://www.geeksforgeeks.org/problems/permutation-with-spaces3627/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Generate parantheses,https://www.geeksforgeeks.org/problems/generate-all-possible-parentheses/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Generate IP address,https://www.geeksforgeeks.org/problems/generate-ip-addresses/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Solve the sudoku,https://www.geeksforgeeks.org/problems/solve-the-sudoku-1587115621/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,kth permutation,https://www.geeksforgeeks.org/problems/find-kth-permutation/1?page=2&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Word search,https://www.geeksforgeeks.org/problems/word-search/1?page=3&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Palindrome partition of string,https://www.geeksforgeeks.org/problems/find-all-possible-palindromic-partitions-of-a-string/1?page=2&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Decode the string,https://www.geeksforgeeks.org/problems/decode-the-string2444/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Letter case permutation,https://leetcode.com/problems/letter-case-permutation/,Best Tutorial link - click to view,Article link-click to view,,
,sum string,https://www.geeksforgeeks.org/problems/sum-string3151/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,word boggle,https://www.geeksforgeeks.org/problems/word-boggle4143/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Largest number in k swaps,https://www.geeksforgeeks.org/problems/largest-number-in-k-swaps-1587115620/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Partition array to k subsets,https://www.geeksforgeeks.org/problems/partition-array-to-k-subsets/1?page=1&category=Backtracking&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
Graphs - Data structure,Most of the probs in this topics can be solved once you learn first couple of probs in each pattern of this topics,https://leetcode.com/discuss/general-discussion/655708/graph-for-beginners-problems-pattern-sample-solutions/,,,,
Traversals & Basic,Understand how graph is represented?,,Best Tutorial link - click to view,,,
,BFS Traversal(Super imp and basic),https://www.geeksforgeeks.org/problems/bfs-traversal-of-graph/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,DFS Traversal(Super imp and basic),https://www.geeksforgeeks.org/problems/depth-first-traversal-for-a-graph/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Detect cycle in Directed graph,https://www.geeksforgeeks.org/problems/detect-cycle-in-a-directed-graph/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Detect cycle in Undirected graph,https://www.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Detect Negative cycle in graph,https://www.geeksforgeeks.org/problems/negative-weight-cycle3504/1?page=2&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
"Connected component(After traversal, this will be easy to solve)",,,,,,
,"Connected component(Once you master this , all the below using this pattern will become super easy)",https://practice.geeksforgeeks.org/problems/strongly-connected-component-tarjanss-algo-1587115621/1,Best Tutorial link - click to view,Article link-click to view,,
,Number of Provinces(Learn how to solve this prob and solve the below in this pattern),https://www.geeksforgeeks.org/problems/number-of-provinces/1?page=2&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Number of Islands,https://www.geeksforgeeks.org/problems/find-the-number-of-islands/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Number of distinct island,https://www.geeksforgeeks.org/problems/number-of-distinct-islands/1?page=2&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Number of closed island,https://www.geeksforgeeks.org/problems/find-number-of-closed-islands/1?page=3&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
Bipartite,,,,,,
,Bipartite graph,https://www.geeksforgeeks.org/problems/bipartite-graph/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,M-colouring,https://practice.geeksforgeeks.org/problems/m-coloring-problem-1587115620/1,Best Tutorial link - click to view,Article link-click to view,,
Shortest Path,"Find shortest path in UG(Once you learn this, try to solve other probs in this pattern by yourself)",https://www.codingninjas.com/studio/problems/shortest-path-in-an-unweighted-graph_981297,Best Tutorial link - click to view,Article link-click to view,,
,Find shortest path in DAG,https://www.geeksforgeeks.org/problems/shortest-path-in-undirected-graph/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Djikstra Algo,https://www.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Step by Knight,https://www.geeksforgeeks.org/problems/steps-by-knight5927/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Shortest path source to destiny,https://www.geeksforgeeks.org/problems/shortest-source-to-destination-path3544/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Find if path exists,https://www.geeksforgeeks.org/problems/find-whether-path-exist5238/1?page=2&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Covid spread,https://www.geeksforgeeks.org/problems/covid-spread--141631/1?page=4&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Minimum cost path,https://www.geeksforgeeks.org/problems/minimum-cost-path3833/1?page=2&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Word ladder I,https://www.geeksforgeeks.org/problems/word-ladder/1?page=3&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Word ladder II,https://www.geeksforgeeks.org/problems/word-ladder-ii/1?page=3&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Floyd warshal algo,https://www.geeksforgeeks.org/problems/implementing-floyd-warshall2042/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Bellmanford algo(Imp - Will be used for negative cycle),https://www.geeksforgeeks.org/problems/distance-from-the-source-bellman-ford-algorithm/1?page=2&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
Multi Source,,,,,,
,Flood fill,https://www.geeksforgeeks.org/problems/flood-fill-algorithm1856/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Replace O's with X's(Below can be solved easily in this pattern once you learnt flood fill),https://www.geeksforgeeks.org/problems/replace-os-with-xs0052/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Unit area of largest region of 1s,https://www.geeksforgeeks.org/problems/length-of-largest-region-of-1s-1587115620/1?page=2&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Rotten Oranges,https://www.geeksforgeeks.org/problems/rotten-oranges2536/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
Topological sort,,,,,,
,"Topological sort algo(Learning this algo, will make you solve all the probs in this pattern)",https://www.geeksforgeeks.org/problems/topological-sort/1?page=1&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Prerequisite tasks,https://www.geeksforgeeks.org/problems/prerequisite-tasks/1?page=2&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Course schedule I,https://www.geeksforgeeks.org/problems/course-schedule/1?page=3&category=Graph&sortBy=submissions,Best Tutorial link - click to view,Article link-click to view,,
,Course schedule II,https://leetcode.com/problems/course-schedule-ii,Best Tutorial link - click to view,Article link-click to view,,
